                    combo28    att406    att622   guard18     id868     id740    small4     att10
        IDLE + 3.2s         1         1         1         1         0         0         1  3204448256
        IDLE + 3.2s         1         1         1         0         0         0         1  3204448256
        IDLE + 3.3s         1         1         1         0         0       871         1  3204448256
        IDLE + 3.3s         1         1         1        16         0       930         1  3204448256
        IDLE + 3.3s         1         1         1         1         0         0  1082668288  3204448256
        IDLE + 3.4s         1         1         1         0         0       493        32  2937061381
        IDLE + 3.4s         1         1         1        40         0         0         1  2937061381
        IDLE + 3.4s         1         1         1         2         0         0         0  2937061381
        IDLE + 3.5s         1         1         1         0         0         0  1082704768  2937061381
        IDLE + 3.5s         1         1         1         4         0         0  1082704768  2937061381
        IDLE + 3.5s         1         1         1         5         0         0         1  2937061381
        IDLE + 3.5s         1         1         0        24         0         0         1  3216991678
        IDLE + 3.6s         1         1         0         1         0         0         1  3216991678
        IDLE + 3.6s         1         1         0         0         0         0         1  3216991678
        IDLE + 3.6s         1         1         0         1         0         0         1  3216991678
        IDLE + 3.7s         1         1         1         0         0         0         0     27415
        IDLE + 3.7s         1         1         1         1         0         0         0     27415
        IDLE + 3.8s         1         1         1         0         0         0         0     27415
        IDLE + 3.8s         1         1         1        18         0         0         0     27415
        IDLE + 3.8s         1         1         1         1         0         0         1     27415
        IDLE + 3.9s         1         1         0         1         0         0         1  3216991678
        IDLE + 3.9s         1         1         0        10         0       931         1  3216991678
        IDLE + 3.9s         1         1         0         1         0         0         1  3216991678
        IDLE + 3.9s         1         1         0         0       868         0        40  3216991678
        IDLE + 4.0s         1         1         0         1         0         0         1  3216991678
       COMBO + 0.0s         0  1142584063  4294967295         1         0         0         0  157155756
       COMBO + 0.1s         0  1142584063  4294967295         1         0         0  1088906240  157155756
       COMBO + 0.1s         0  1142584063  4294967295         0         0         0  1088906240         0
       COMBO + 0.1s         0  1142584063  4294967295         2         0         0  1101194496         0
       COMBO + 0.2s         0  1142584063  4294967295        12         0         0  1101194496         0
       COMBO + 0.2s         0  1142584063  4294967295         1         0         0         9         0
       COMBO + 0.2s         0  1142584063  4294967295         0         0         0  1083205632         0
       COMBO + 0.2s         0  1142584063  4294967295         1         0         0  1101201216         0
